,T1003,T1018,T1021,T1041,T1053,T1059,T1074,T1078,T1082,T1098,T1133,T1190,T1204,T1486,T1555,T1566,T1595,T1598,T1657
T1003,0.000000,1.000000,0.750000,0.942809,0.408248,0.750000,0.612372,0.746203,0.000000,0.353553,0.707107,0.612372,0.500000,0.801784,0.353553,0.000000,1.006231,0.353553,0.959403
T1018,1.000000,0.000000,0.875000,0.942809,0.408248,0.500000,0.612372,1.066004,0.000000,0.353553,0.707107,0.612372,0.250000,0.801784,0.353553,0.000000,1.006231,0.353553,1.066004
T1021,0.750000,0.875000,0.000000,0.942809,0.612372,0.250000,0.408248,1.172604,0.353553,0.353553,0.707107,0.612372,0.250000,0.801784,0.353553,0.353553,1.006231,0.353553,1.172604
T1041,0.942809,0.942809,0.942809,0.000000,0.577350,0.471405,0.577350,1.105542,0.333333,0.333333,0.666667,0.577350,0.471405,0.881917,0.333333,0.333333,1.054093,0.333333,1.105542
T1053,0.408248,0.408248,0.612372,0.577350,0.000000,0.000000,0.000000,0.870388,0.577350,0.577350,0.000000,0.000000,0.408248,0.436436,0.577350,0.577350,0.547723,0.000000,0.870388
T1059,0.750000,0.500000,0.250000,0.471405,0.000000,0.000000,0.408248,0.000000,0.000000,0.000000,0.353553,0.816497,0.500000,0.534522,0.000000,0.000000,0.447214,0.000000,0.213201
T1074,0.612372,0.612372,0.408248,0.577350,0.000000,0.408248,0.000000,0.522233,0.000000,0.000000,0.288675,0.333333,0.408248,0.436436,0.000000,0.000000,0.547723,0.000000,0.522233
T1078,0.746203,1.066004,1.172604,1.105542,0.870388,0.000000,0.522233,0.000000,0.301511,0.603023,0.452267,0.000000,0.213201,1.025645,0.603023,0.301511,1.239501,0.603023,1.363636
T1082,0.000000,0.000000,0.353553,0.333333,0.577350,0.000000,0.000000,0.301511,0.000000,0.000000,0.000000,0.000000,0.707107,0.377964,0.000000,1.000000,0.316228,0.000000,0.301511
T1098,0.353553,0.353553,0.353553,0.333333,0.577350,0.000000,0.000000,0.603023,0.000000,0.000000,0.000000,0.000000,0.000000,0.377964,1.000000,0.000000,0.316228,0.000000,0.301511
T1133,0.707107,0.707107,0.707107,0.666667,0.000000,0.353553,0.288675,0.452267,0.000000,0.000000,0.000000,0.866025,0.000000,0.566947,0.000000,0.000000,0.790569,0.500000,0.753778
T1190,0.612372,0.612372,0.612372,0.577350,0.000000,0.816497,0.333333,0.000000,0.000000,0.000000,0.866025,0.000000,0.000000,0.436436,0.000000,0.000000,0.547723,0.000000,0.696311
T1204,0.500000,0.250000,0.250000,0.471405,0.408248,0.500000,0.408248,0.213201,0.707107,0.000000,0.000000,0.000000,0.000000,0.534522,0.000000,0.707107,0.447214,0.000000,0.213201
T1486,0.801784,0.801784,0.801784,0.881917,0.436436,0.534522,0.436436,1.025645,0.377964,0.377964,0.566947,0.436436,0.534522,0.000000,0.377964,0.377964,0.956183,0.377964,0.683763
T1555,0.353553,0.353553,0.353553,0.333333,0.577350,0.000000,0.000000,0.603023,0.000000,1.000000,0.000000,0.000000,0.000000,0.377964,0.000000,0.000000,0.316228,0.000000,0.301511
T1566,0.000000,0.000000,0.353553,0.333333,0.577350,0.000000,0.000000,0.301511,1.000000,0.000000,0.000000,0.000000,0.707107,0.377964,0.000000,0.000000,0.316228,0.000000,0.301511
T1595,1.006231,1.006231,1.006231,1.054093,0.547723,0.447214,0.547723,1.239501,0.316228,0.316228,0.790569,0.547723,0.447214,0.956183,0.316228,0.316228,0.000000,0.632456,1.144155
T1598,0.353553,0.353553,0.353553,0.333333,0.000000,0.000000,0.000000,0.603023,0.000000,0.000000,0.500000,0.000000,0.000000,0.377964,0.000000,0.000000,0.632456,0.000000,0.301511
T1657,0.959403,1.066004,1.172604,1.105542,0.870388,0.213201,0.522233,1.363636,0.301511,0.301511,0.753778,0.696311,0.213201,0.683763,0.301511,0.301511,1.144155,0.301511,0.000000
