Case,T1003,T1018,T1021,T1041,T1053,T1059,T1074,T1078,T1082,T1098,T1133,T1190,T1204,T1486,T1555,T1566,T1595,T1598,T1657,Total
CNA Financial,2,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,9
Change Healthcare,0,1,1,1,0,0,1,3,0,0,0,0,0,1,0,0,1,0,1,10
Colonial Pipeline,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,9
D.C. Metropolitan Police,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,3,11
ExecuPharm,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,10
Health Service Executive,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,10
Kaseya VSA,1,1,1,1,0,1,0,0,0,0,1,2,0,1,0,0,1,0,1,11
MGM Resorts,1,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,2,1,1,12
Royal Mail,1,1,1,1,1,0,0,2,0,1,0,0,0,1,1,0,1,0,1,12
TOTAL,8,8,8,9,3,2,3,11,1,1,4,3,2,7,1,1,10,1,11,94
